Mes_y_año,Código_departamento,Código_municipio,Precio_promedio_por_litro
2024-01-01,5,5001,2068.2610175259483
2024-01-01,5,5002,2091.3921555390534
2024-01-01,5,5038,2065.8763996180887
2024-01-01,5,5079,2257.398979437175
2024-01-01,5,5086,2215.193788082555
2024-01-01,5,5088,2421.2823571513777
2024-01-01,5,5148,1963.3591276820266
2024-01-01,5,5150,1925.353292140998
2024-01-01,5,5237,2211.442340515251
2024-01-01,5,5264,2048.41892712078
2024-01-01,5,5266,1963.1925095980569
2024-01-01,5,5310,2070.5238589211617
2024-01-01,5,5318,1862.1985457328742
2024-01-01,5,5376,2056.985415507539
2024-01-01,5,5400,2154.819936062859
2024-01-01,5,5440,2156.0640942996592
2024-01-01,5,5615,2173.58576408748
2024-01-01,5,5656,2219.020590868398
2024-01-01,5,5658,2122.584886804479
2024-01-01,5,5664,2190.759569495178
2024-01-01,5,5686,2081.591041520686
2024-01-01,5,5697,2108.75499001996
2024-01-01,5,5756,2150.2146007250963
2024-01-01,5,5887,2101.6360679404784
2024-01-01,8,8141,2031.9440151883089
2024-01-01,8,8372,2025.5271084337348
2024-01-01,8,8436,2137.911481332798
2024-01-01,8,8560,1975.277981223783
2024-01-01,8,8638,2044.9212430821626
2024-01-01,13,13052,2116.800187711595
2024-01-01,13,13140,2081.0121906169184
2024-01-01,13,13244,1999.9999999999995
2024-01-01,13,13248,2093.7042997092117
2024-01-01,13,13430,2048.5498246639386
2024-01-01,13,13433,2151.9062893337114
2024-01-01,13,13442,2106.42351139192
2024-01-01,13,13647,2140.4817987152037
2024-01-01,13,13657,2057.072518658795
2024-01-01,15,15001,1920.690926973199
2024-01-01,15,15087,1950.5252128356256
2024-01-01,15,15176,1981.0676841880043
2024-01-01,15,15238,1965.0205099332427
2024-01-01,15,15272,2022.3790913531998
2024-01-01,15,15469,1723.0877427997316
2024-01-01,15,15516,2075.796742254871
2024-01-01,15,15600,1857.2774628466366
2024-01-01,15,15632,1878.0358557844695
2024-01-01,15,15676,2014.8633039720794
2024-01-01,15,15759,2011.7590603065466
2024-01-01,15,15763,2235.786042944786
2024-01-01,15,15806,2050.142315328919
2024-01-01,15,15814,2061.971239144645
2024-01-01,15,15861,1899.406906906907
2024-01-01,17,17001,2117.222704647304
2024-01-01,17,17653,1806.8595338432963
2024-01-01,17,17873,2090.7206233775555
2024-01-01,18,18001,1816.5930289641628
2024-01-01,18,18247,1814.775101257727
2024-01-01,18,18256,1832.4888856673429
2024-01-01,18,18410,1858.7837653664785
2024-01-01,18,18592,1771.146674497137
2024-01-01,19,19001,2076.3311735762654
2024-01-01,19,19532,1904.9809342230697
2024-01-01,19,19743,1914.5406360424026
2024-01-01,19,19807,1968.7089715536106
2024-01-01,20,20001,2504.939535318054
2024-01-01,20,20011,1886.2839147286825
2024-01-01,20,20013,2064.61427338231
2024-01-01,20,20060,1985.897192716236
2024-01-01,20,20175,1951.3170883774096
2024-01-01,20,20178,1960.851577945376
2024-01-01,20,20238,2028.3833326763115
2024-01-01,20,20383,1845.4870837223782
2024-01-01,20,20621,2284.4398051496164
2024-01-01,20,20710,1904.748570348315
2024-01-01,20,20750,1932.8489795918367
2024-01-01,20,20770,1933.7433241624858
2024-01-01,23,23001,2232.3159758504594
2024-01-01,23,23068,1889.4131486080255
2024-01-01,23,23079,1759.0697857592943
2024-01-01,23,23162,2210.0695691935853
2024-01-01,23,23182,1963.7992350533452
2024-01-01,23,23189,2008.4533053515217
2024-01-01,23,23417,1954.1835109641067
2024-01-01,23,23466,1722.4451720986906
2024-01-01,23,23555,2302.3133363822553
2024-01-01,23,23570,1971.9266913774381
2024-01-01,23,23660,2127.5694068517514
2024-01-01,23,23686,1916.0572664538058
2024-01-01,25,25126,2232.541000670407
2024-01-01,25,25200,2026.4800428609694
2024-01-01,25,25214,2186.99510498386
2024-01-01,25,25260,2159.0948882908738
2024-01-01,25,25269,2205.3751259179235
2024-01-01,25,25286,2069.422370037729
2024-01-01,25,25288,1996.6500067540194
2024-01-01,25,25295,2014.2826162027766
2024-01-01,25,25317,2141.8643657335574
2024-01-01,25,25322,2074.263538719611
2024-01-01,25,25377,2097.8504725247467
2024-01-01,25,25407,2071.5923898879337
2024-01-01,25,25430,2067.0733037290984
2024-01-01,25,25473,2196.7229651726593
2024-01-01,25,25486,2130.894972016248
2024-01-01,25,25736,2137.4412269027466
2024-01-01,25,25740,2002.7253657310794
2024-01-01,25,25745,1914.2285613741835
2024-01-01,25,25758,2149.825676975092
2024-01-01,25,25769,2203.817576028962
2024-01-01,25,25779,1949.7957458797014
2024-01-01,25,25785,2181.6149932327435
2024-01-01,25,25799,2072.4905960914048
2024-01-01,25,25817,2237.905147220514
2024-01-01,25,25843,2253.10945745608
2024-01-01,25,25873,2109.0319329848207
2024-01-01,25,25899,2136.664391751647
2024-01-01,41,41001,1959.5773532152848
2024-01-01,41,41016,2022.9782585862827
2024-01-01,41,41396,1900.326955679341
2024-01-01,41,41524,1999.9999999999998
2024-01-01,41,41551,2011.7541301696415
2024-01-01,44,44650,2170.486171761281
2024-01-01,47,47058,1889.1278880572727
2024-01-01,47,47170,1927.650352662467
2024-01-01,47,47258,2085.2740567776823
2024-01-01,47,47460,1931.7752681809993
2024-01-01,47,47545,2084.6464508179893
2024-01-01,47,47551,2009.2283790781983
2024-01-01,47,47555,2040.1574167507567
2024-01-01,47,47660,1947.3617705621075
2024-01-01,50,50001,2032.1056344508174
2024-01-01,50,50006,1914.0417553461032
2024-01-01,50,50150,1809.905221537388
2024-01-01,50,50226,1908.4009666241107
2024-01-01,50,50313,1907.5295326142787
2024-01-01,50,50318,1887.8467324870708
2024-01-01,50,50606,1863.8825189627798
2024-01-01,50,50689,1897.4820970397886
2024-01-01,52,52001,1867.1724546172056
2024-01-01,52,52110,2025.8603339734086
2024-01-01,52,52224,1641.3825230242014
2024-01-01,52,52227,1819.1367529980848
2024-01-01,52,52317,1762.4885749896137
2024-01-01,52,52352,1514.6528374182467
2024-01-01,52,52356,1762.9024768837567
